case_id,case_name,priority,category_ids,result_status,assertions_evaluated,assertions_passed,assertions_failed,critical_failures,major_failures,elapsed_seconds,result_path,trace_path,result_sha256,trace_sha256
TC-01,Strong ICM alignment with sufficient evidence,high,['CAT-01'],PASS,14,14,0,0,0,0.004915,outputs/evaluation/p5_01/case_results/TC-01.json,outputs/evaluation/p5_01/case_traces/TC-01.jsonl,1f9b1f5444f958856f1ffbdf14ff033bea531cb3278dcecf4b63a6ce01fd0ddd,b30364d49cb198dc002bb9d8047f532cbfda227b3a2cc8f0cb02aba878bc82e9
TC-02,Human accepts with modified conditions,high,"['CAT-01', 'CAT-09']",PASS,15,15,0,0,0,0.002443,outputs/evaluation/p5_01/case_results/TC-02.json,outputs/evaluation/p5_01/case_traces/TC-02.jsonl,fc1820c6692da2aea36f8c4fe5af628c11c02e3499c03d963e9fa6278b37796a,d1d2b3b1cbc6f581c5815b01e7313827d5b6f0ee6854fd384009d5f1c08ebe12
TC-03,Ambiguous scope requires clarification,high,['CAT-02'],PARTIAL,14,13,1,0,1,0.00249,outputs/evaluation/p5_01/case_results/TC-03.json,outputs/evaluation/p5_01/case_traces/TC-03.jsonl,3e5536e833d2dbe5420aa36edf73df141a93dd8b88110aa0983a46cfc052582b,37c92009e9abc5074857e6cba804e267c8167d9d5139c48ee2905960805514e8
TC-04,Sparse record produces explicit abstention,critical,['CAT-02'],PASS,14,14,0,0,0,0.002372,outputs/evaluation/p5_01/case_results/TC-04.json,outputs/evaluation/p5_01/case_traces/TC-04.jsonl,e7338d952457cecd0ca41d24b20a601ccfd4992377027be9798b9f158252cb40,f21d0c47fc7145c8e219a27be3f83ae8b57b6d165e6ae1b6ee4f057d50c0a89d
TC-05,Low-confidence Project 4 prediction abstains,critical,['CAT-03'],PARTIAL,14,13,1,0,1,0.002266,outputs/evaluation/p5_01/case_results/TC-05.json,outputs/evaluation/p5_01/case_traces/TC-05.jsonl,2ed1fca93c1c9e3ecf063d3dca8621dada51ae80f5d637db8d4f721a1ee7cb2c,c45a45af31237046df167984f5188535637be460ec2144fe04e8bcf82b9631ba
TC-06,Public-sector domain shift escalates,critical,"['CAT-03', 'CAT-09']",PASS,14,14,0,0,0,0.002686,outputs/evaluation/p5_01/case_results/TC-06.json,outputs/evaluation/p5_01/case_traces/TC-06.jsonl,8e9a2526ec9097d03f07af0e1d0a05c6e9d6abb92e761a7380c9c0b2053e389e,c33b902569ee0ecd80277916778a4b580d41153c51f43e20af1b48bab4865d67
TC-07,Long passage discloses truncation,high,['CAT-03'],PASS,14,14,0,0,0,0.002728,outputs/evaluation/p5_01/case_results/TC-07.json,outputs/evaluation/p5_01/case_traces/TC-07.jsonl,878aae79d1de02a5c26695b9be3b90f4e4c879a81e73e81b7b23b5345aad32e7,c510d5498db6be70fd9429d9fe65ca6aee1e3c946b7b0e91712a3196836a1d2d
TC-08,Invalid model package fails closed,critical,"['CAT-03', 'CAT-10']",PASS,13,13,0,0,0,0.002469,outputs/evaluation/p5_01/case_results/TC-08.json,outputs/evaluation/p5_01/case_traces/TC-08.jsonl,70a4dde963371bdf87e1d2b7b43d8b306493133b89ee631d44c26bf8256f2576,7b5aa10dc890c273b302d5c76636bd1aa7c7778133cde0dbb1249af1f65eda3f
TC-09,Missing exact citation abstains,critical,['CAT-04'],PASS,14,14,0,0,0,0.002372,outputs/evaluation/p5_01/case_results/TC-09.json,outputs/evaluation/p5_01/case_traces/TC-09.jsonl,e309583227006892748748a6e009dd6e922c4142e1325357d27d3445e3dc677f,3da94b1031f6f857b9186b4842c04b0a219232c0031b37ed1834e03b61eb2a5d
TC-10,Stale official evidence defers,high,['CAT-04'],PARTIAL,14,13,1,0,1,0.002525,outputs/evaluation/p5_01/case_results/TC-10.json,outputs/evaluation/p5_01/case_traces/TC-10.jsonl,5864c4b12690621b8c82f1e162dfdcf10995fe919362a745b52c13a635149914,e587f4e83a948ec53ee7a451b516aaa70cb5eed33e269fb554f87e056c4d0b39
