control_id,category,control_name,severity,control_types,action_on_trigger,human_route,reason_codes,mapped_p6_03_risks,governance_residual_gap,organization_override_permitted,test_scenarios
SG-001,configuration_governance,Safeguard policy schema and startup validation,critical,preventive; detective,fail_closed,Technical Reviewer,SAFEGUARD_POLICY_INVALID,GR-12,Controls configuration integrity; production approval/change-management workflow remains future work.,false,SCN-SG-001
SG-002,configuration_governance,Organization safeguard override rejection,critical,preventive; detective; escalation,fail_closed,Executive Authority,SAFEGUARD_OVERRIDE_ATTEMPT,GR-12,Controls configuration integrity; production approval/change-management workflow remains future work.,false,SCN-SG-002
SG-003,configuration_governance,Versioned configuration referential integrity,high,preventive; detective,fail_closed,Organization Profile Owner,CONFIGURATION_REFERENCE_INVALID,GR-12,Controls configuration integrity; production approval/change-management workflow remains future work.,false,SCN-SG-003
SG-004,source_provenance,Approved-source gate,critical,preventive; detective,block,Data or Privacy Reviewer,SOURCE_NOT_APPROVED,GR-02; GR-10; GR-16,Controls provenance and version awareness; source completeness and human verification remain necessary.,false,SCN-SG-004
SG-005,source_provenance,Source checksum and immutable snapshot requirement,high,preventive; detective; disclosure,defer,Data Reviewer,SOURCE_CHECKSUM_MISSING; SOURCE_VERSION_CHANGED,GR-02; GR-08; GR-15; GR-19,Controls provenance and version awareness; source completeness and human verification remain necessary.,false,SCN-SG-005
SG-006,privacy_security,Sensitive-data detection and redaction,critical,preventive; detective; corrective; escalation,redact_and_escalate,Security or Privacy Reviewer,SENSITIVE_DATA_DETECTED,GR-10; GR-20,Reduces prohibited-data exposure; production DLP/IAM/security architecture is not implemented.,false,SCN-SG-006
SG-007,privacy_security,Secret and credential blocking,critical,preventive; detective,block,Technical or Security Reviewer,SECRET_VALUE_DETECTED,GR-10; GR-20,Reduces prohibited-data exposure; production DLP/IAM/security architecture is not implemented.,false,SCN-SG-007
SG-008,prompt_injection,Untrusted-source instruction isolation,critical,preventive; detective; disclosure,block,Security Reviewer,PROMPT_INJECTION_DETECTED; UNTRUSTED_INSTRUCTION_IGNORED,GR-11,Treats untrusted instructions as data; future LLM/tool integrations would require renewed threat modeling.,false,SCN-SG-008
SG-009,structured_analysis,Insufficient structured-input abstention,medium,preventive; detective; disclosure,abstain,Opportunity Analyst,STRUCTURED_ANALYSIS_INSUFFICIENT,GR-02; GR-03; GR-07,Prevents unsupported completeness/prediction claims; human input and interpretation remain material.,false,SCN-SG-009
SG-010,structured_analysis,Descriptive-history nonprediction control,high,preventive; detective; disclosure,block,Business Development Reviewer,PREDICTIVE_CLAIM_PROHIBITED,GR-03; GR-04; GR-17,Prevents unsupported completeness/prediction claims; human input and interpretation remain material.,false,SCN-SG-010
SG-011,model_inference,Project 4 package integrity validation,critical,preventive; detective,fail_closed,Technical Reviewer,MODEL_PACKAGE_INVALID,GR-05,Protects integrity and flags uncertainty/domain shift; the frozen model is not a public-sector legal classifier.,false,SCN-SG-011
SG-012,model_inference,Fixed model-confidence abstention threshold,high,preventive; detective; escalation; disclosure,abstain,Contracts or Legal Reviewer,MODEL_CONFIDENCE_LOW,GR-06,Protects integrity and flags uncertainty/domain shift; the frozen model is not a public-sector legal classifier.,false,SCN-SG-012
