case_id,assertion_id,assertion_type,target_path,expected_value,severity
TC-01,AS-TC-01-TERM,equals,$.case_state.terminal_outcome,"""finalized_accept""",critical
TC-01,AS-TC-01-STATUS,equals,$.case_state.case_status,"""finalized""",critical
TC-01,AS-TC-01-STAGEID,equals,$.case_state.primary_stage_id,"""STG-12""",critical
TC-01,AS-TC-01-STAGE,equals,$.case_state.primary_stage,"""record_human_disposition""",major
TC-01,AS-TC-01-COMP,equals,$.case_state.primary_component,"""human_disposition_recorder""",major
TC-01,AS-TC-01-REASON,contains_all,$.case_state.reason_codes,"[""HUMAN_DECISION_REQUIRED""]",critical
TC-01,AS-TC-01-AUDIT,contains_all,$.audit.event_types,"[""configuration_loaded"", ""source_ingested"", ""alignment_completed"", ""historical_context_attached"", ""clause_triage_completed"", ""evidence_retrieved"", ""evidence_validated"", ""recommendation_created"", ""human_disposition_recorded""]",major
TC-01,AS-TC-01-SCHEMA,schema_valid,$.artifacts.schema_valid,true,critical
TC-01,AS-TC-01-CHECK,checksum_valid,$.artifacts.checksum_valid,true,critical
TC-01,AS-TC-01-NOEXT,contains_none,$.side_effects,"[""email_sent"", ""proposal_submitted"", ""contract_accepted"", ""purchase_executed"", ""staff_committed""]",critical
TC-01,AS-TC-01-BOUND,contains_none,$.claims,"[""production_ready"", ""legally_authoritative"", ""award_probability"", ""autonomous_approval""]",critical
TC-01,AS-TC-01-RECCODE,equals,$.case_state.recommendation_code,"""R-01""",critical
TC-01,AS-TC-01-RECLABEL,equals,$.case_state.recommendation_label,"""Recommend Pursue""",major
TC-01,AS-TC-01-ROUTE,equals,$.routing.expected_human_route,"""Business Development or Pursuit Lead""",major
TC-02,AS-TC-02-TERM,equals,$.case_state.terminal_outcome,"""finalized_accept_with_conditions""",critical
TC-02,AS-TC-02-STATUS,equals,$.case_state.case_status,"""finalized""",critical
TC-02,AS-TC-02-STAGEID,equals,$.case_state.primary_stage_id,"""STG-12""",critical
TC-02,AS-TC-02-STAGE,equals,$.case_state.primary_stage,"""record_human_disposition""",major
TC-02,AS-TC-02-COMP,equals,$.case_state.primary_component,"""human_disposition_recorder""",major
TC-02,AS-TC-02-REASON,contains_all,$.case_state.reason_codes,"[""HUMAN_DECISION_REQUIRED""]",critical
TC-02,AS-TC-02-AUDIT,contains_all,$.audit.event_types,"[""recommendation_created"", ""human_disposition_recorded""]",major
TC-02,AS-TC-02-SCHEMA,schema_valid,$.artifacts.schema_valid,true,critical
