record_class,minimum_evidence,purpose,handling_expectation,prototype_location,production_requirement
Solicitation source snapshot,"Original approved file/source, source type, retrieval/upload time, SHA-256, approval basis",Provenance and later reconstruction of the reviewed source,Use approved/public/authorized material only; avoid restricted information,case workspace / source artifact; checksum referenced in case state and audit,"Authoritative records classification, access controls, legal hold, retention/disposition rule"
Operator-confirmed opportunity intake,"Original and normalized values, missing fields, source reference, case ID",Trace the facts used by alignment and downstream analysis,Human confirms fields against source; corrections must be traceable,case workspace and integrated case state,Authenticated editor identity and controlled amendment history
Organization configuration,"Profile ID/version, linked artifact versions/checksums, rules, reviewer roles, thresholds",Explain organization-specific screening behavior,No safeguard overrides; changes version-controlled,config/profiles and audit references,"Formal configuration owner, approval workflow, effective dating, rollback"
Model provenance,"Model ID/version/checksums, vocabulary/config, runtime environment, prediction metadata",Reproduce bounded Project 4 triage,Integrity validation before use; domain warning retained,models/project4 and case/audit output,"Model registry, validation approval, monitoring, drift/retraining governance"
Selected solicitation passages,"Passage identifier, section label, exact operator-supplied text",Show what text the bounded model actually evaluated,Do not imply whole-document completeness,case workspace / clause-triage inputs,Document extraction/selection controls and completeness assurance
Evidence retrieval and sufficiency,"Request, retrieved items, citations, source versions, relevance/sufficiency scores, missing evidence, conflicts",Support or explicitly withhold authority for material claims,Retrieval does not equal sufficiency; stale/missing evidence must remain visible,evidence workflow outputs and audit,"Governed authoritative corpus, update SLA, source ownership, legal applicability review"
System recommendation,"Recommendation code/strength, evidence, counterevidence, missing information, conditions, limitations, reviewer route",Preserve the original advisory output separately from the human decision,Nonbinding language; recommendation remains immutable after human disposition,recommendation.json and decision-support packet,"Authenticated generation, immutable version history, approved template governance"
Human disposition,"Reviewer identity, role, disposition, rationale, conditions/escalation target, timestamp",Establish accountable human authority,Must remain distinct from system recommendation,human disposition output and case state,"Enterprise identity proofing, authorization, delegation, separation-of-duties policy"
Audit ledger,"Event IDs, actor type, timestamps, hashes/previous hashes, reason codes, stage status",Reconstruct system and human actions,Fail closed if required audit persistence fails; sanitize sensitive data,audit JSONL artifacts,"Centralized immutable logging, monitoring, access controls, backup, incident procedures"
Case bundle / resume package,"Bundle manifest, file inventory, checksums, current state, audit continuity",Preserve a controlled case across ephemeral Colab runtime loss,Restore only after manifest/checksum verification,operator-exported ZIP outside repository,"Encrypted storage, authenticated access, lifecycle/retention controls"
Evaluation and CI evidence,"Frozen scenarios, metrics, failure analysis, refinements, candidate manifests, hosted quality-gate evidence",Demonstrate the validated technical baseline and later documentation overlays,Historical manifests remain immutable; later documentation changes use overlays,"outputs/evaluation, docs, GitHub Actions artifact",Formal release/change records and independent validation evidence
Risk/governance evidence,"Risk register, safeguard matrix, responsible owners, residual risks, production gates",Make governance assumptions and unresolved risks explicit,Review before major scope/deployment changes,docs/P6_03_* and outputs/evaluation/p6_03,"Governance body/owner, periodic review cadence, risk acceptance authority"
