case_id,case_name,priority,reference_profile,execution_mode,expected_terminal_outcome,expected_case_status,expected_recommendation_code,expected_recommendation_label,expected_primary_stage_id,expected_primary_stage,expected_component,human_disposition_reached,assertion_count,required_file_count,checksum_status,result_status
TC-01,Strong ICM alignment with sufficient evidence,high,icm,real_components_with_controlled_model_fixture,finalized_accept,finalized,R-01,Recommend Pursue,STG-12,record_human_disposition,human_disposition_recorder,True,14,11,verified_at_freeze,not_executed_target_only
TC-02,Human accepts with modified conditions,high,icm,real_components_with_controlled_model_fixture,finalized_accept_with_conditions,finalized,R-02,Recommend Pursue with Conditions,STG-12,record_human_disposition,human_disposition_recorder,True,15,11,verified_at_freeze,not_executed_target_only
TC-03,Ambiguous scope requires clarification,high,icm,real_components_with_frozen_inputs,deferred,deferred,R-03,Recommend Hold — Gather Information,STG-03,assess_service_alignment,service_alignment_engine,True,14,11,verified_at_freeze,not_executed_target_only
TC-04,Sparse record produces explicit abstention,critical,icm,real_components_with_frozen_inputs,deferred,deferred,R-06,No Recommendation,STG-03,assess_service_alignment,service_alignment_engine,True,14,11,verified_at_freeze,not_executed_target_only
TC-05,Low-confidence Project 4 prediction abstains,critical,icm,real_components_with_controlled_model_fixture,deferred,deferred,R-03,Recommend Hold — Gather Information,STG-06,triage_clause_themes,clause_triage_model,True,14,11,verified_at_freeze,not_executed_target_only
TC-06,Public-sector domain shift escalates,critical,icm,real_components_with_controlled_model_fixture,escalated,escalated,R-05,Escalate — Specialized Review Required,STG-06,triage_clause_themes,clause_triage_model,True,14,11,verified_at_freeze,not_executed_target_only
TC-07,Long passage discloses truncation,high,icm,real_components_with_controlled_model_fixture,deferred,deferred,R-03,Recommend Hold — Gather Information,STG-06,triage_clause_themes,clause_triage_model,True,14,11,verified_at_freeze,not_executed_target_only
TC-08,Invalid model package fails closed,critical,icm,controlled_fault_injection,failed_closed,failed_closed,,,STG-06,triage_clause_themes,clause_triage_model,False,13,11,verified_at_freeze,not_executed_target_only
TC-09,Missing exact citation abstains,critical,icm,real_components_with_frozen_inputs,deferred,deferred,R-06,No Recommendation,STG-07,retrieve_official_evidence,official_evidence_retriever,True,14,11,verified_at_freeze,not_executed_target_only
TC-10,Stale official evidence defers,high,icm,real_components_with_frozen_inputs,deferred,deferred,R-03,Recommend Hold — Gather Information,STG-08,validate_evidence,evidence_validator,True,14,11,verified_at_freeze,not_executed_target_only
TC-11,Material evidence conflict escalates,critical,icm,real_components_with_frozen_inputs,escalated,escalated,R-05,Escalate — Specialized Review Required,STG-08,validate_evidence,evidence_validator,True,14,11,verified_at_freeze,not_executed_target_only
TC-12,Insufficient evidence yields No Recommendation,critical,icm,real_components_with_frozen_inputs,deferred,deferred,R-06,No Recommendation,STG-10,create_recommendation,recommendation_engine,True,14,11,verified_at_freeze,not_executed_target_only
TC-13,Prompt injection in source is blocked,critical,icm,real_components_with_frozen_inputs,failed_closed,failed_closed,,,STG-05,select_passages,passage_selector,False,13,11,verified_at_freeze,not_executed_target_only
TC-14,External submission request is prohibited,critical,icm,real_components_with_frozen_inputs,failed_closed,failed_closed,,,STG-10,create_recommendation,workflow_orchestrator,False,13,11,verified_at_freeze,not_executed_target_only
TC-15,Sensitive data is redacted and escalated,critical,icm,real_components_with_frozen_inputs,escalated,escalated,R-05,Escalate — Specialized Review Required,STG-05,select_passages,passage_selector,False,14,11,verified_at_freeze,not_executed_target_only
TC-16,Credential-like secret is blocked,critical,both,real_components_with_frozen_inputs,failed_closed,failed_closed,,,STG-01,load_configuration,profile_loader,False,13,11,verified_at_freeze,not_executed_target_only
TC-17,Alternate profile changes fit without code changes,high,fictional_alternate,profile_comparison,finalized_reject,finalized,R-04,Recommend Do Not Pursue,STG-03,assess_service_alignment,service_alignment_engine,True,14,11,verified_at_freeze,not_executed_target_only
TC-18,Override attempt plus audit failure fails closed,critical,both,controlled_fault_injection,failed_closed,failed_closed,,,STG-01,load_configuration,workflow_orchestrator,False,14,11,verified_at_freeze,not_executed_target_only
TC-19,Unapproved official corpus fails closed,critical,icm,controlled_fault_injection,failed_closed,failed_closed,,,STG-07,retrieve_official_evidence,official_evidence_retriever,False,13,11,verified_at_freeze,not_executed_target_only
