risk_id,risk_statement,risk_consequence,control_id,control_name,control_types,trigger,action,human_route,test_scenario
R-001,"If the workflow starts without a valid fixed safeguard policy, controls may be skipped or inconsistently applied.","Unsupported recommendations, privacy failures, untraceable actions, or unauthorized decisions could occur.",SG-001,Safeguard policy schema and startup validation,preventive; detective,"The safeguard policy is absent, unreadable, schema-invalid, or version-inconsistent.",fail_closed,Technical Reviewer,SCN-SG-001
R-002,"If an organization profile can weaken safeguards, portability could create unsafe or inconsistent behavior.","A business user could disable human review, evidence requirements, audit logging, or external-action restrictions.",SG-002,Organization safeguard override rejection,preventive; detective; escalation,A profile or case request includes a prohibited override key or conflicts with a fixed control.,fail_closed,Executive Authority,SCN-SG-002
R-003,"If linked configuration is missing or inconsistent, different components may apply incompatible business logic.","Recommendations could be based on incomplete services, wrong reviewer roles, or stale thresholds.",SG-003,Versioned configuration referential integrity,preventive; detective,"A profile-linked service, rules, staffing, reviewer, threshold, or schema file is absent or invalid.",fail_closed,Organization Profile Owner,SCN-SG-003
R-004,"If unapproved sources are processed, the system may violate privacy, confidentiality, licensing, or data-governance constraints.",Restricted or unauthorized information could be persisted or used in recommendations.,SG-004,Approved-source gate,preventive; detective,A source lacks an approved-for-use flag or approval basis.,block,Data or Privacy Reviewer,SCN-SG-004
R-005,"If sources cannot be reproduced, evaluation and recommendations may rely on undocumented content changes.",Reviewers could be unable to reconstruct why a recommendation was made.,SG-005,Source checksum and immutable snapshot requirement,preventive; detective; disclosure,A source checksum is missing or the retrieved source no longer matches the approved version.,defer,Data Reviewer,SCN-SG-005
R-006,"If sensitive data is retained, the repository or audit trail may expose protected information.","Privacy, security, contractual, and reputational harm could result.",SG-006,Sensitive-data detection and redaction,preventive; detective; corrective; escalation,Input or generated output contains prohibited sensitive data.,redact_and_escalate,Security or Privacy Reviewer,SCN-SG-006
R-007,"If credentials are committed or logged, unauthorized access to external systems may occur.","Accounts, data, or paid services could be compromised.",SG-007,Secret and credential blocking,preventive; detective,"A credential-like value is detected in input, configuration, output, or audit content.",block,Technical or Security Reviewer,SCN-SG-007
R-008,"If source text can alter system behavior, a solicitation or document could bypass fixed controls.","The system might expose data, fabricate authority, or execute prohibited behavior.",SG-008,Untrusted-source instruction isolation,preventive; detective; disclosure,"Source text asks the system to ignore rules, reveal secrets, change tools, use new sources, or take an action.",block,Security Reviewer,SCN-SG-008
R-009,"If sparse opportunity data is treated as complete, the system may overstate service alignment.",Time and resources could be spent on opportunities that are outside scope or ineligible.,SG-009,Insufficient structured-input abstention,preventive; detective; disclosure,"Required title, description, scope, or qualification information is absent or materially ambiguous.",abstain,Opportunity Analyst,SCN-SG-009
R-010,"If historical counts are presented as predictive, reviewers may overestimate pursuit success or organizational capacity.",The final decision could rely on statistically unsupported claims.,SG-010,Descriptive-history nonprediction control,preventive; detective; disclosure,A request or output converts descriptive historical context into a predictive or capacity claim.,block,Business Development Reviewer,SCN-SG-010
R-011,"If incompatible model assets are used, labels or probabilities may be silently incorrect.",Incorrect reviewer routing and false confidence could result.,SG-011,Project 4 package integrity validation,preventive; detective,"A model package file is missing, incompatible, or fails checksum or load validation.",fail_closed,Technical Reviewer,SCN-SG-011
R-012,"If low-confidence predictions are treated as reliable, reviewers may be routed incorrectly.",Material clauses may receive inadequate or delayed specialist review.,SG-012,Fixed model-confidence abstention threshold,preventive; detective; escalation; disclosure,Maximum class probability is below 0.80.,abstain,Contracts or Legal Reviewer,SCN-SG-012
R-013,"If domain shift is hidden, high-confidence errors may be mistaken for reliable legal classification.",Reviewers may miss critical public-sector terms or apply the wrong expertise.,SG-013,Model domain-shift escalation,detective; escalation; disclosure,"The passage type, vocabulary, or context materially differs from the supported training domain.",escalate,Contracts or Legal Reviewer,SCN-SG-013
R-014,"If truncation is undisclosed, the classifier may omit exceptions or qualifiers later in a clause.",The theme and review priority could be misleading.,SG-014,Sequence truncation disclosure,detective; disclosure; escalation,A passage exceeds the supported 256-token input length.,warn,Contracts Reviewer,SCN-SG-014
R-015,"If unvalidated corpus content is treated as authoritative, citations may be wrong or outdated.",The system could misstate regulatory or contractual evidence.,SG-015,Approved official-corpus gate,preventive; detective,"The official corpus lacks approved version, checksum, metadata validation, or representative retrieval tests.",fail_closed,Data or Contracts Reviewer,SCN-SG-015
R-016,"If semantic similarity silently replaces an exact citation, the system may cite the wrong authority.",A reviewer could rely on a materially different clause or requirement.,SG-016,Exact citation precedence and missing-citation abstention,preventive; detective; disclosure,A supplied citation is missing or exact metadata does not match.,abstain,Contract Analyst,SCN-SG-016
R-017,"If stale evidence is used, recommendations may conflict with current requirements.",The organization could pursue or accept terms based on superseded authority.,SG-017,Evidence freshness and source-version gate,detective; corrective; disclosure,"Evidence is stale, the source version changed, or freshness is unknown for a material claim.",defer,Contract or Data Reviewer,SCN-SG-017
R-018,"If weak evidence supports a directional recommendation, the system may create false certainty.",Human reviewers may accept an unsupported pursuit or contract posture.,SG-018,Minimum relevance and sufficiency threshold,preventive; detective; disclosure,Evidence relevance is below 0.60 or directional sufficiency is below 0.70.,abstain,Opportunity or Contract Analyst,SCN-SG-018
R-019,"If conflicts are suppressed, the recommendation may present a one-sided conclusion.",The final human decision may overlook material contractual or regulatory uncertainty.,SG-019,Material-conflict escalation,detective; escalation; disclosure,Two or more validated evidence items materially conflict.,escalate,Qualified Specialist,SCN-SG-019
