risk_id,domain,risk_statement,ethical_or_operational_impact,likelihood,impact,inherent_rating,existing_controls,accountable_owner,required_human_oversight,residual_risk,residual_risk_statement,status
GR-01,human_authority,"If an AI recommendation is treated as an organizational decision, ICM could make a pursuit, contractual, staffing, pricing, or legal commitment without accountable human authorization.","Automation overreach, unclear accountability, and potentially unauthorized commitments.",Medium,Critical,Critical,SG-023; SG-024; SG-026,Executive Authority (RR-02),Authorized human disposition; executive approval for final pursuit/organizational commitments.,Low,Residual risk remains if users copy advisory output outside the controlled interface or misrepresent it; the prototype cannot govern off-system behavior.,Controlled in prototype
GR-02,source_provenance,"If operator-entered opportunity metadata is incorrect, incomplete, or tied to an unverified source, downstream alignment and review may be based on the wrong opportunity facts.",Misallocation of pursuit resources and misleading analysis presented as source-grounded.,Medium,High,High,SG-004; SG-005; SG-009,Business Development or Pursuit Lead (RR-01),Operator confirms structured fields against the solicitation before intake validation.,Medium,Metadata confirmation is human-controlled and remains susceptible to entry or interpretation error.,Controlled with accepted human-input limitation
GR-03,alignment_interpretation,"If configurable service alignment is interpreted as proof of eligibility, capacity, award probability, or strategic fit, the organization may overstate its readiness to pursue.",Overclaiming capability or readiness and directing resources toward unsuitable work.,Medium,High,High,SG-009; SG-010; SG-022; SG-023,Business Development or Pursuit Lead (RR-01),"Leadership independently verifies eligibility, staffing, finances, schedule, and strategic fit.",Medium,Transparent matching reduces ambiguity but cannot establish live organizational capacity or all eligibility conditions.,Controlled in prototype
GR-04,historical_data,"If frozen historical procurement counts are interpreted as predictive evidence, reviewers may infer unsupported win probability, market demand, contract value, or staffing capacity.",Statistically unsupported claims can bias pursuit decisions.,Medium,High,High,SG-010; SG-022,Business Development or Pursuit Lead (RR-01),Historical context must remain descriptive and be interpreted alongside current business facts.,Low,The current system labels historical context as descriptive; misuse remains possible outside the controlled packet.,Controlled in prototype
GR-05,model_integrity,"If incompatible or corrupted Project 4 model artifacts are loaded, clause-theme labels and reviewer routing may be wrong while appearing technically valid.",False confidence and incorrect specialist routing.,Low,Critical,High,SG-011,Technical Reviewer,Technical reviewer owns model-package/version integrity before execution.,Low,Checksum/load validation addresses known package integrity failure modes but is not a substitute for production model governance.,Controlled in prototype
GR-06,model_validity,"If low-confidence, out-of-domain, or truncated Project 4 output is treated as semantically or legally correct, material public-sector contract terms may be misclassified.",Legal/contract risk may be understated or routed incorrectly.,High,Critical,Critical,SG-012; SG-013; SG-014; SG-025,Contracts or Procurement Specialist (RR-03) / Legal Counsel (RR-04),"Qualified review of original solicitation language whenever confidence, domain shift, truncation, or consequential interpretation is present.",High,"Domain-shift escalation prevents silent reliance, but the frozen commercial-contract model is not validated as a public-sector legal classifier.",Accepted limitation / production blocker
GR-07,document_completeness,"If the operator selects incomplete or unrepresentative passages, the system may never analyze a material clause elsewhere in the solicitation.",False sense of completeness and omission of material obligations.,High,Critical,Critical,SG-009; SG-013; SG-014; SG-025,Contracts or Procurement Specialist (RR-03),"Qualified reviewer must review the complete current solicitation, amendments, attachments, and incorporated terms.",High,The operator interface intentionally does not claim whole-document extraction; complete-document review remains a human obligation.,Accepted limitation / production blocker
GR-08,evidence_quality,"If the bounded evidence corpus is incomplete, stale, semantically similar but inapplicable, or missing an exact citation, the system may appear evidence-grounded while lacking authoritative support.","Misleading authority, stale compliance assumptions, or unsupported contractual interpretation.",High,Critical,Critical,SG-015; SG-016; SG-017; SG-018; SG-019,Contracts or Procurement Specialist (RR-03),Specialist confirms the current complete official source and applicability before relying on the evidence.,High,"Fail-safe abstention is effective, but the representative FAR subset is intentionally incomplete and does not establish state-specific or solicitation-specific authority.",Accepted limitation / production blocker
GR-09,recommendation_quality,"If counterevidence, missing information, limitations, or source links are omitted, the packet may create one-sided or unsupported confidence in a recommendation.",Decision-support bias and reduced contestability.,Medium,Critical,High,SG-019; SG-020; SG-021; SG-022; SG-023,Business Development or Pursuit Lead (RR-01),"Reviewer examines missing information, unresolved issues, evidence sufficiency, and counterevidence before disposition.",Low,"Structured packet requirements materially reduce omission risk, but human readers may still overweight a concise recommendation.",Controlled in prototype
GR-10,privacy_security,"If confidential, personal, restricted, or credential information is uploaded, persisted, logged, or committed, the prototype may expose sensitive information.","Privacy harm, credential compromise, contractual breach, and reputational damage.",Medium,Critical,Critical,SG-004; SG-006; SG-007; SG-027,Security or Privacy Reviewer (RR-05),Use only approved sources; sanitize prohibited data; security/privacy review for restricted information.,Medium,"Content checks and repository scans reduce risk, but the capstone lacks production DLP, identity, and access-control architecture.",Controlled in prototype / production blocker
GR-11,prompt_injection,"If instructions embedded in solicitations or evidence are interpreted as system instructions, untrusted content could attempt to alter controls or request prohibited behavior.","Control bypass, data exposure, or fabricated authority.",Medium,Critical,Critical,SG-008,Security or Privacy Reviewer (RR-05),Treat all source-document instructions as data; escalate suspicious content.,Low,"The frozen workflow is largely deterministic and does not rely on a general-purpose runtime agent, materially reducing this attack surface.",Controlled in prototype
GR-12,configuration_governance,"If organization profiles, thresholds, or linked configuration artifacts drift or override fixed safeguards, identical opportunities could receive unsafe or irreproducible treatment.","Uncontrolled decision criteria, inconsistent governance, and weakened safeguards.",Medium,Critical,Critical,SG-001; SG-002; SG-003,Project Owner / Executive Authority (RR-02),Profile changes require versioned review; fixed safeguard overrides are prohibited.,Low,Version/schema checks prevent known override paths; formal production configuration approval workflow is not implemented.,Controlled in prototype
GR-13,reviewer_authorization,"If a case is finalized by an inappropriate role or without specialist escalation, accountable subject-matter review may be bypassed.",Decisions may be made without appropriate authority or expertise.,Medium,Critical,Critical,SG-024; SG-025,Executive Authority (RR-02),Use configured reviewer roles and mandatory specialist routes; executive retains final pursuit authority.,Medium,"Role validation exists, but the capstone does not implement enterprise identity proofing, MFA, or production separation-of-duties controls.",Controlled in prototype / production blocker
GR-14,external_action,"If the system can send, submit, purchase, accept, sign, or otherwise act externally, an incorrect analysis could create real commitments.","Unauthorized financial, legal, staffing, or procurement consequences.",Low,Critical,Critical,SG-026,Executive Authority (RR-02),All external actions remain outside the system and require authorized human execution.,Low,The final candidate performed zero external actions; risk would materially increase if future integrations added write-capable tools.,Controlled in prototype
GR-15,audit_reproducibility,"If audit events, source checksums, or persisted case artifacts are missing or corrupted, reviewers may be unable to reconstruct how an output was produced.","Reduced accountability, contestability, reproducibility, and ability to investigate errors.",Medium,High,High,SG-005; SG-027; SG-028; SG-029,Technical Reviewer,Technical owner reviews audit failures and restores/reprocesses only through controlled procedures.,Low,"Hash-chain and fail-closed persistence controls are strong for the prototype; production backup, centralized logging, and immutable storage are not implemented.",Controlled in prototype / production blocker
GR-16,ethics_conflict_of_interest,"If privileged, nonpublic, conflicted, or improperly obtained procurement information is used, the analysis could create an unfair or impermissible competitive advantage.","Procurement-integrity concerns, reputational harm, disqualification, or legal exposure.",Low,Critical,High,SG-004; SG-006; SG-025,Executive Authority (RR-02) / Legal Counsel (RR-04),Confirm approved source basis and escalate conflicts of interest or ethical concerns to qualified review.,Medium,The framework can require approved sources and escalation but cannot determine every procurement-integrity restriction automatically.,Controlled with human/legal review
