requirement_id,category,requirement,evidence_location,acceptance_test,review_status
WR-01,Industry problem,"The workload must address opportunity selection, contract review, evidence sufficiency, recommendations, and human approval for a small public-sector consulting business.",representative_operational_workload.json: business_problem and workload_objective,Reviewer confirms the workload is operationally plausible and ICM-relevant.,Draft
WR-02,Portability,The same executable workflow must support ICM and a fictional alternate organization profile without code changes.,reference_organization.portability_requirement and AT-13,Run identical frozen input under both profiles and compare configuration-dependent outputs.,Draft
WR-03,Scope,The unit of work must be one organization profile applied to one opportunity case.,scope.unit_of_work and workload_profile,Schema validation enforces one profile and one opportunity per run.,Draft
WR-04,Data governance,"All data must be frozen, synthetic, deidentified, public, or explicitly authorized.",scope.data_mode and approved_inputs,Source approval and provenance gates reject any other classification.,Draft
WR-05,Prior-project integration,"Projects 1, 2, 4, and 6 must contribute runtime assets or methods.",Prior_Project_Traceability_Matrix.json,Traceability validator confirms runtime entries for all four projects.,Draft
WR-06,Bounded evidence,Projects 3 and 5 must remain design or evaluation evidence unless a new explicit justification is approved.,Prior_Project_Traceability_Matrix.json,Traceability validator rejects runtime entries for Projects 3 and 5.,Draft
WR-07,Model use,No new model training is required for the integrated workload.,workload_profile.training_required,Schema requires false.,Draft
WR-08,Compute,The representative workload must run on CPU; GPU is optional and unnecessary.,workload_profile.gpu_required and AT-14/AT-15,Run the bounded workload and Project 4 inference on Colab CPU.,Draft
WR-09,Stage completeness,"All 12 orchestration stages must be accounted for, whether executed, skipped under policy, abstained, or failed closed.",stages and AT-01,Compare case audit and state with the orchestration policy.,Draft
WR-10,Human authority,A case cannot be finalized without an authorized human disposition and rationale.,"STG-12, DP-06, OUT-11, and AT-11",Integrated-case schema rejects finalization without human disposition.,Draft
WR-11,Evidence grounding,"Every material recommendation claim must trace to evidence, deterministic rules, model artifacts, or recorded source facts.",OUT-06 through OUT-09 and AT-04,Claim-to-artifact validator reports no unsupported material claim.,Draft
WR-12,Counterevidence,Known material counterevidence and conflicts must be disclosed.,"STG-08, DP-04, AT-05",Compare validated conflict inventory with the recommendation packet.,Draft
WR-13,Abstention,"Insufficient information, low confidence, and missing citations must produce explicit abstention or safe deferral.","STG-03, STG-06, STG-07, STG-08, AT-06","Execute sparse-data, low-confidence, and missing-citation scenarios.",Draft
WR-14,Auditability,Every material transition must have a sanitized append-only audit event.,OUT-12 and AT-09,"Validate event schema, event IDs, state references, and hash chain.",Draft
WR-15,External action,"No component may submit, send, approve, purchase, price, staff, or otherwise act externally.",out_of_scope and AT-08,Execute external-action misuse scenarios and inspect all side effects.,Draft
WR-16,Performance,"The bounded automated workload should complete within 60 seconds on Colab CPU, excluding human wait and provider latency.",AT-14,Measure stage timestamps under the frozen reference workload.,Draft
WR-17,Reproducibility,The same frozen inputs and configuration must reproduce deterministic structured outputs.,AT-16 and AT-17,Repeat the workload and compare structured artifacts and validation outputs.,Draft
WR-18,Output completeness,The decision-support packet must contain all mandatory sections and valid artifact references.,OUT-10 and AT-18,Run packet completeness and artifact-ID integrity checks.,Draft
WR-19,Production boundary,The workload must state that it is a controlled capstone prototype and not production-ready.,production_boundary and CON-10,Repository scan finds the required boundary and no unsupported production-readiness claim.,Draft
