replay_id,scope,command_or_action,expected_result,determinism_class,required_inputs
RP-01,Repository integrity,python scripts/ci_repository_checks.py,"PASS; no credential hits, >100MB files, merge markers, traceback outputs, or unresolved implementation markers",deterministic,complete repository checkout
RP-02,Frozen evaluation verification,python scripts/verify_p5_01_frozen_evaluation.py,19 cases / 262 assertions frozen evidence verifies,artifact verification,frozen v1.0.1 scenario/evaluation artifacts
RP-03,Refined baseline,python scripts/verify_p5_04_refinement.py,19/19 cases and 262/262 assertions; 0 regressions,deterministic,frozen scenario set and refined evaluation code
RP-04,Configuration portability,python scripts/verify_p5_04_portability.py,same executable code; profile-specific alignment/recommendations; safeguards/schemas unchanged,deterministic,ICM and fictional profiles plus portability opportunities
RP-05,Final candidate freeze,python scripts/verify_p5_12_final_submission_candidate.py,candidate PROJECT7-SUBMISSION-CANDIDATE-v1.0.0 verifies with overlay-aware change control,artifact verification,"strict inventory, candidate manifest, active P6 overlays"
RP-06,Governance evidence,python scripts/verify_p6_03_governance.py,"20 risks, 30 safeguards, 7 reviewer roles, 15 production gates; production_ready=false",artifact verification,P6-03 governance artifacts
RP-07,P4-06 deterministic packet replay,python tests/run_p4_06_validation.py,preserved packet/case hashes reproduce and audit chain verifies,deterministic structured replay,"P4-04 state, P4-05/P4-06 artifacts, complete model package when full P4-03 execution is requested"
RP-08,Operator interface static validation,python scripts/validate_operator_interface.py,operator notebook/interface structure validates,deterministic,"notebook, operator UI/workflow modules, configuration"
RP-09,Reviewer operator workflow,Open notebooks/Project_7_Operator_Interface.ipynb in Colab; Run all; upload/confirm an approved source; complete stages 1-7,nonbinding recommendation remains separate from human disposition; save/resume works; external actions remain 0,controlled interactive,approved source file plus operator-confirmed metadata/passages
RP-10,Full hosted quality gate,Push to main or manually dispatch Project 7 Quality Gate,green hosted run with retained artifact,environment-dependent verification,"GitHub-hosted runner, repository state, package resolver/network"
