organization_id,organization_name,profile_version,service_family_id,service_family,capability_id,capability_name,capability_description,delivery_modes,target_sectors,lifecycle_stages,positive_keywords,strong_match_phrases,exclusion_keywords,related_roles,methods_technologies,default_priority,source_basis,source_url,confidence,active,notes
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF01,IT Strategy Consulting,ICM-ITS-001,IT Strategic Planning,Align technology investments and initiatives with business objectives and measurable outcomes.,Advisory;Assessment;Roadmap Development,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Discovery;Current-State Assessment;Strategy;Roadmap,IT strategy;technology strategy;strategic technology planning;IT operating model;technology investment;business technology alignment,IT strategic plan;technology strategy roadmap;align IT with business goals;enterprise technology strategy,construction strategy only;real estate strategy;marketing strategy only;consumer electronics retail only,IT Strategist;Technology Advisor;Enterprise Architect;Business Architect,Stakeholder interviews;business-objective alignment;capability assessment;prioritization;roadmapping,High,Official ICM service page; official ICM about page,https://icmsol.com/it-strategy-consulting,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF01,IT Strategy Consulting,ICM-ITS-002,Current-State IT Assessment,"Assess applications, infrastructure, processes, cloud, cybersecurity, data, analytics, and technology alignment to identify strengths and gaps.",Assessment;Advisory,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Discovery;Current-State Assessment,IT assessment;current state assessment;technology assessment;application portfolio assessment;infrastructure assessment;IT landscape,assess current IT environment;current-state technology assessment;IT landscape assessment,construction strategy only;real estate strategy;marketing strategy only;consumer electronics retail only,IT Strategist;Enterprise Architect;Cloud Architect;Security Advisor;Data Architect,Application inventory;infrastructure review;cloud assessment;cybersecurity posture review;data and analytics assessment,High,Official ICM service page,https://icmsol.com/it-strategy-consulting,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF01,IT Strategy Consulting,ICM-ITS-003,Enterprise Architecture,"Develop enterprise and solution architecture direction that connects business capabilities, applications, data, infrastructure, and integration.",Advisory;Architecture;Roadmap Development,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Assessment;Architecture;Strategy;Roadmap,enterprise architecture;business architecture;technology architecture;application architecture;data architecture;target architecture,enterprise architecture roadmap;target-state architecture;business and technology architecture,construction strategy only;real estate strategy;marketing strategy only;consumer electronics retail only,Enterprise Architect;Business Architect;Solution Architect;Data Architect,Enterprise architecture methods;capability mapping;target-state design;architecture principles;transition planning,High,Official ICM service page; official ICM about page,https://icmsol.com/it-strategy-consulting,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF01,IT Strategy Consulting,ICM-ITS-004,Gap and Opportunity Analysis,"Identify technology gaps, inefficiencies, risks, redundancies, and improvement opportunities relative to business goals.",Assessment;Advisory,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Current-State Assessment;Gap Analysis;Prioritization,gap analysis;technology gaps;IT risks;technical debt;process inefficiency;technology opportunity assessment,identify IT gaps;technology gap assessment;IT improvement opportunities,construction strategy only;real estate strategy;marketing strategy only;consumer electronics retail only,IT Strategist;Enterprise Architect;Business Analyst;Risk Advisor,Gap analysis;risk assessment;technical-debt review;capability maturity assessment;opportunity prioritization,High,Official ICM service page,https://icmsol.com/it-strategy-consulting,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF01,IT Strategy Consulting,ICM-ITS-005,Digital Transformation and IT Roadmaps,"Create phased, actionable roadmaps for digital transformation, modernization, adoption, and ongoing technology refinement.",Advisory;Roadmap Development;Transformation Planning,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Strategy;Roadmap;Transformation Planning,digital transformation;IT roadmap;technology roadmap;modernization roadmap;transformation strategy;phased implementation,digital transformation roadmap;phased IT roadmap;technology modernization strategy,construction strategy only;real estate strategy;marketing strategy only;consumer electronics retail only,IT Strategist;Enterprise Architect;Program Manager;Change Manager,Initiative sequencing;dependency mapping;investment prioritization;transition roadmap;benefit alignment,High,Official ICM service page,https://icmsol.com/it-strategy-consulting,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF01,IT Strategy Consulting,ICM-ITS-006,"Cloud, Data, Cybersecurity, and Continuity Strategy","Evaluate and plan cloud, data and analytics, cybersecurity, compliance, risk mitigation, and business-continuity improvements as part of an integrated IT strategy.",Assessment;Advisory;Roadmap Development,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Assessment;Strategy;Risk Planning;Roadmap,cloud strategy;cloud assessment;data strategy;analytics strategy;cybersecurity strategy;business continuity;technology risk;compliance roadmap,cloud and cybersecurity strategy;data and analytics roadmap;business continuity planning,construction strategy only;real estate strategy;marketing strategy only;consumer electronics retail only,Cloud Architect;Security Advisor;Data Architect;IT Strategist;Risk Manager,Cloud readiness;data capability assessment;cybersecurity posture;compliance planning;business continuity,High,Official ICM service page,https://icmsol.com/it-strategy-consulting,High,TRUE,"This row represents strategy and assessment capability, not managed security operations."
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF02,Custom Development & System Integration,ICM-CDI-001,Requirements Analysis and Functional Design,"Elicit, analyze, document, and validate business and functional requirements for custom applications and integrations.",Advisory;Analysis;Implementation Support,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Discovery;Requirements;Functional Design,requirements gathering;business requirements;functional requirements;requirements analysis;functional design;business analysis,business requirements analysis;functional design;requirements elicitation,website content writing only;graphic design only;hardware installation only;construction engineering,Business Analyst;Business Systems Analyst;Functional Analyst;Product Owner,Stakeholder workshops;process analysis;requirements traceability;use cases;user stories;functional specifications,High,Official ICM custom-development page; official ICM industries page,https://icmsol.com/custom-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF02,Custom Development & System Integration,ICM-CDI-002,Technical Assessment and Solution Architecture,"Assess the existing technology environment and design scalable, secure, maintainable solution architecture and integration patterns.",Assessment;Architecture;Advisory,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Technical Assessment;Architecture;Design,technical assessment;solution architecture;system design;technology stack;integration architecture;data flow,solution architecture design;technical architecture assessment;integration design,website content writing only;graphic design only;hardware installation only;construction engineering,Solution Architect;Technical Lead;Enterprise Architect;Integration Architect,Architecture diagrams;technology selection;security and performance design;integration patterns;maintainability planning,High,Official ICM service page,https://icmsol.com/custom-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF02,Custom Development & System Integration,ICM-CDI-003,Custom Application Development,"Design and develop tailored applications that support organization-specific workflows, business processes, and customer interactions.",Implementation;Development;Prototype,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Design;Development;Testing;Deployment,custom application;application development;software development;bespoke application;web application;enterprise application,custom application development;build a new application;develop tailored software,website content writing only;graphic design only;hardware installation only;construction engineering,Software Developer;Technical Lead;Solution Architect;Business Analyst;QA Engineer,JavaScript;.NET;Python;SQL;legacy languages;iterative development;code review,High,Official ICM service page,https://icmsol.com/custom-development,High,TRUE,
ICMSOL,"Integrated Consulting and Management Solutions, LLC",1.0.0,SF02,Custom Development & System Integration,ICM-CDI-004,Legacy Modernization,"Modernize, enhance, or connect legacy applications while preserving essential business functions and reducing operational risk.",Assessment;Architecture;Implementation;Modernization,State government;Local government;Public sector;Private sector;Healthcare and insurance;Defense;Technology consulting partners,Assessment;Modernization;Integration;Migration,legacy modernization;legacy system;mainframe modernization;application modernization;technology refresh;legacy integration,modernize legacy applications;legacy system modernization;connect legacy systems,website content writing only;graphic design only;hardware installation only;construction engineering,Solution Architect;Legacy Developer;Integration Engineer;Technical Lead,Legacy analysis;incremental modernization;interface design;data migration;parallel transition,High,Official ICM service page,https://icmsol.com/custom-development,High,TRUE,
