trace_id,prior_project,source_repository,source_artifact,source_url,original_role,reuse_classification,project7_target,project7_role,runtime_status,transformation,limitations,required_safeguards,validation_evidence,decision,decision_rationale
TR-P1-01,1,https://github.com/icmsol/ai-programming-foundations-project,data_workflow.ipynb — reusable column and text standardization functions,https://github.com/icmsol/ai-programming-foundations-project/blob/main/data_workflow.ipynb,Standardized Cal eProcure HTML-table exports into a reproducible tabular structure.,adapted_runtime_reuse,src/intake/normalization.py (planned),Provide the initial reusable normalization patterns behind a source-adapter interface.,planned_for_implementation,"Extract functions from notebook cells, add type checks, source adapters, schema validation, and structured errors.",The original implementation is Cal eProcure-specific and was not designed as a multi-source production library.,SG-003; SG-004; SG-005,Project 1 reusable-asset review plus Project 7 opportunity schema and component contract.,adapt,"The normalization logic remains useful, but Project 7 requires a common contract across portals and preserved provenance."
TR-P1-02,1,https://github.com/icmsol/ai-programming-foundations-project,data_workflow.ipynb — deadline parsing and original-value retention,https://github.com/icmsol/ai-programming-foundations-project/blob/main/data_workflow.ipynb,Parsed source deadlines while retaining the original deadline representation for auditability.,adapted_runtime_reuse,src/intake/normalization.py and opportunity_record.schema.json,Preserve source values while creating normalized date-time fields and explicit parse limitations.,planned_for_implementation,Generalize parsing by source portal and jurisdiction; preserve failed parses in missing_fields and limitations.,"Portal-specific date formats and time zones may differ, and missing deadlines cannot be inferred.",SG-004; SG-005; SG-009,"Project 7 opportunity schema requires original_values, missing_fields, provenance, and normalized timestamps.",adapt,This is a strong reproducibility pattern that supports the new shared data contract.
TR-P1-03,1,https://github.com/icmsol/ai-programming-foundations-project,data_workflow.ipynb — composite record-key approach,https://github.com/icmsol/ai-programming-foundations-project/blob/main/data_workflow.ipynb,Avoided treating Event ID as globally unique and constructed a composite record identifier.,adapted_runtime_reuse,src/intake/identity.py (planned),Generate deterministic record keys from source identity and stable normalized fields.,planned_for_implementation,Replace notebook-specific composition with a versioned SHA-256-derived key contract.,"Source identifiers may change, duplicate, or be absent across portals.",SG-004; SG-005,Project 7 opportunity_record.schema.json requires a deterministic 20-character record_key.,adapt,The original lesson is retained while the key algorithm is made versioned and cross-source.
TR-P1-04,1,https://github.com/icmsol/ai-programming-foundations-project,data/processed/caleprocure_bids_combined.csv,https://github.com/icmsol/ai-programming-foundations-project/blob/main/data/processed/caleprocure_bids_combined.csv,Combined one year of completed solicitations with a frozen current-open snapshot.,design_evidence,docs/Project_1_2_Reusable_Asset_Review.md,Demonstrate the evolution from a single-source opportunity workflow to the Project 2 multi-source foundation.,reference_only,Use only as lineage and early-workflow evidence; do not load into the Project 7 historical context.,"The period is short, the source is Cal eProcure-only, and Project 2 supersedes it with five years and multiple portals.",SG-005; SG-010,Project 1 repository README and Project 7 reusable-asset review.,reference,The artifact supports portfolio continuity but is not the strongest runtime dataset.
TR-P1-05,1,https://github.com/icmsol/ai-programming-foundations-project,Hard-coded ICM opportunity-screening rules in data_workflow.ipynb,https://github.com/icmsol/ai-programming-foundations-project/blob/main/data_workflow.ipynb,Produced a conservative manual-review list using ICM-specific keyword rules.,superseded,config/profiles/* plus service_alignment_engine.contract.json,"Replace hard-coded screening with organization-configurable services, exclusions, reason codes, and safeguards.",not_used,Retain concepts only; move all business criteria into validated CSV and JSON profile artifacts.,Hard-coded ICM logic prevents portability and mixes business configuration with executable code.,SG-002; SG-003; SG-009,P1/P2 reusable-asset review and the Project 7 configuration portability smoke test.,replace,"The concept remains useful, but the implementation conflicts with the approved configuration-first design."
TR-P2-01,2,https://github.com/icmsol/Capstone-project-2-statistical-analysis,analysis.ipynb — multi-source field standardization,https://github.com/icmsol/Capstone-project-2-statistical-analysis/blob/main/analysis.ipynb,"Standardized California, El Dorado County, and Sacramento procurement exports.",adapted_runtime_reuse,src/intake/source_adapters/ and src/intake/normalization.py (planned),Provide the primary structured-data ingestion foundation for multiple public procurement sources.,planned_for_implementation,Extract deterministic source adapters and validate every output against opportunity_record.schema.json.,"The three portals differ in retention, status terms, schema, and coverage.",SG-003; SG-004; SG-005; SG-009,Project 1/2 reusable-asset review; Project 2 repository structure and documented analytical workflow.,adapt,Project 2 is the strongest prior structured-data foundation and supersedes Project 1 for runtime ingestion.
TR-P2-02,2,https://github.com/icmsol/Capstone-project-2-statistical-analysis,data/processed/analysis_summary.json,https://github.com/icmsol/Capstone-project-2-statistical-analysis/blob/main/data/processed/analysis_summary.json,Stored reproducible summary statistics for the five-year historical analysis.,executable_reuse,data/reference/project2/analysis_summary.json (planned frozen copy),Supply checksum-verified descriptive historical context and provenance.,committed_not_yet_integrated,"Copy the frozen artifact with source URL, checksum, and approved prior-project registry entry.","The statistics are historical, descriptive, and do not predict current award probability or capacity.",SG-005; SG-010; SG-018,P1-05 smoke test downloaded and validated the asset and recorded its checksum.,retain,"The artifact is compact, reproducible, and directly supports descriptive context."
TR-P2-03,2,https://github.com/icmsol/Capstone-project-2-statistical-analysis,data/processed/data_dictionary.csv,https://github.com/icmsol/Capstone-project-2-statistical-analysis/blob/main/data/processed/data_dictionary.csv,"Documented processed data fields, meanings, types, and analytical usage.",executable_reuse,data/reference/project2/data_dictionary.csv (planned frozen copy),"Support field interpretation, mapping validation, and reviewer traceability.",committed_not_yet_integrated,Preserve unchanged with checksum and source registry metadata.,The dictionary describes Project 2 processed assets and not every future Project 7 field.,SG-003; SG-005,P1-05 smoke test loaded 24 dictionary rows successfully.,retain,The dictionary is directly useful for reproducibility and interpretation.
TR-P2-04,2,https://github.com/icmsol/Capstone-project-2-statistical-analysis,data/processed/classification_audit_sample.csv,https://github.com/icmsol/Capstone-project-2-statistical-analysis/blob/main/data/processed/classification_audit_sample.csv,Provided a human-auditable sample of deterministic ICM relevance and category classifications.,executable_reuse,data/reference/project2/classification_audit_sample.csv (planned frozen copy),Supply regression examples and transparent rule-audit evidence for the adapted alignment engine.,committed_not_yet_integrated,Preserve as frozen evidence; map old labels to the new organization-profile reason codes without altering the source sample.,The audit sample reflects Project 2 rules and is not a ground-truth label set for every organization.,SG-002; SG-009; SG-010,P1-05 smoke test loaded 56 audit-sample rows successfully.,retain,It supports transparent comparison between prior deterministic screening and the new configurable engine.
TR-P2-05,2,https://github.com/icmsol/Capstone-project-2-statistical-analysis,data/processed/icm_relevant_historical_bids.csv,https://github.com/icmsol/Capstone-project-2-statistical-analysis/blob/main/data/processed/icm_relevant_historical_bids.csv,Stored 176 title-classified ICM-relevant historical procurement records.,adapted_runtime_reuse,data/reference/project2/icm_relevant_historical_bids.csv (planned frozen copy),Provide descriptive service-category and staffing-family context for representative scenarios.,planned_for_implementation,Freeze and checksum the file; expose only aggregate or cited records through historical_context_provider.,"Title-based classification cannot establish full-scope fit, eligibility, contract value, or likelihood of award.",SG-005; SG-010; SG-018,Project 2 reported 176 relevant records and explicitly documented the directional limitation.,adapt,The records are useful context when their limitations remain visible and no predictive claim is made.
