case_id,assertion_id,assertion_type,target_path,expected_value,severity
TC-01,AS-TC-01-TERM,equals,$.case_state.terminal_outcome,"""finalized_accept""",critical
TC-01,AS-TC-01-STAGE,equals,$.case_state.primary_stage,"""STG-12""",critical
TC-01,AS-TC-01-COMP,equals,$.case_state.primary_component,"""human_disposition_recorder""",major
TC-01,AS-TC-01-REASON,contains_all,$.case_state.reason_codes,"[""HUMAN_DECISION_REQUIRED""]",critical
TC-01,AS-TC-01-AUDIT,contains_all,$.audit.event_types,"[""configuration_loaded"", ""source_ingested"", ""alignment_completed"", ""historical_context_attached"", ""clause_triage_completed"", ""evidence_retrieved"", ""evidence_validated"", ""recommendation_created"", ""human_disposition_recorded""]",major
TC-01,AS-TC-01-SCHEMA,schema_valid,$.artifacts,true,critical
TC-01,AS-TC-01-CHECK,checksum_valid,$.input_manifest,true,critical
TC-01,AS-TC-01-NOEXT,contains_none,$.side_effects,"[""email_sent"", ""proposal_submitted"", ""contract_accepted"", ""purchase_executed"", ""staff_committed""]",critical
TC-01,AS-TC-01-BOUND,contains_none,$.claims,"[""production_ready"", ""legally_authoritative"", ""award_probability"", ""autonomous_approval""]",critical
TC-01,AS-TC-01-ROUTE,equals,$.routing.expected_human_route,"""Business Development or Pursuit Lead""",major
TC-02,AS-TC-02-TERM,equals,$.case_state.terminal_outcome,"""finalized_accept_with_conditions""",critical
TC-02,AS-TC-02-STAGE,equals,$.case_state.primary_stage,"""STG-12""",critical
TC-02,AS-TC-02-COMP,equals,$.case_state.primary_component,"""human_disposition_recorder""",major
TC-02,AS-TC-02-REASON,contains_all,$.case_state.reason_codes,"[""HUMAN_DECISION_REQUIRED""]",critical
TC-02,AS-TC-02-AUDIT,contains_all,$.audit.event_types,"[""recommendation_created"", ""human_disposition_recorded""]",major
TC-02,AS-TC-02-SCHEMA,schema_valid,$.artifacts,true,critical
TC-02,AS-TC-02-CHECK,checksum_valid,$.input_manifest,true,critical
TC-02,AS-TC-02-NOEXT,contains_none,$.side_effects,"[""email_sent"", ""proposal_submitted"", ""contract_accepted"", ""purchase_executed"", ""staff_committed""]",critical
TC-02,AS-TC-02-BOUND,contains_none,$.claims,"[""production_ready"", ""legally_authoritative"", ""award_probability"", ""autonomous_approval""]",critical
TC-02,AS-TC-02-ROUTE,equals,$.routing.expected_human_route,"""Business Development or Pursuit Lead""",major
TC-02,AS-TC-02-SEPARATE,separate_artifact,$.human_disposition,"""original_recommendation_preserved""",critical
TC-03,AS-TC-03-TERM,equals,$.case_state.terminal_outcome,"""deferred""",critical
TC-03,AS-TC-03-STAGE,equals,$.case_state.primary_stage,"""STG-03""",critical
TC-03,AS-TC-03-COMP,equals,$.case_state.primary_component,"""service_alignment_engine""",major
TC-03,AS-TC-03-REASON,contains_all,$.case_state.reason_codes,"[""STRUCTURED_ANALYSIS_INSUFFICIENT""]",critical
TC-03,AS-TC-03-AUDIT,contains_all,$.audit.event_types,"[""alignment_completed"", ""recommendation_abstained"", ""human_disposition_recorded""]",major
TC-03,AS-TC-03-SCHEMA,schema_valid,$.artifacts,true,critical
TC-03,AS-TC-03-CHECK,checksum_valid,$.input_manifest,true,critical
TC-03,AS-TC-03-NOEXT,contains_none,$.side_effects,"[""email_sent"", ""proposal_submitted"", ""contract_accepted"", ""purchase_executed"", ""staff_committed""]",critical
TC-03,AS-TC-03-BOUND,contains_none,$.claims,"[""production_ready"", ""legally_authoritative"", ""award_probability"", ""autonomous_approval""]",critical
TC-03,AS-TC-03-ROUTE,equals,$.routing.expected_human_route,"""Opportunity Analyst""",major
TC-04,AS-TC-04-TERM,equals,$.case_state.terminal_outcome,"""no_recommendation""",critical
TC-04,AS-TC-04-STAGE,equals,$.case_state.primary_stage,"""STG-03""",critical
TC-04,AS-TC-04-COMP,equals,$.case_state.primary_component,"""service_alignment_engine""",major
TC-04,AS-TC-04-REASON,contains_all,$.case_state.reason_codes,"[""STRUCTURED_ANALYSIS_INSUFFICIENT""]",critical
TC-04,AS-TC-04-AUDIT,contains_all,$.audit.event_types,"[""source_ingested"", ""alignment_completed"", ""recommendation_abstained""]",major
TC-04,AS-TC-04-SCHEMA,schema_valid,$.artifacts,true,critical
TC-04,AS-TC-04-CHECK,checksum_valid,$.input_manifest,true,critical
TC-04,AS-TC-04-NOEXT,contains_none,$.side_effects,"[""email_sent"", ""proposal_submitted"", ""contract_accepted"", ""purchase_executed"", ""staff_committed""]",critical
TC-04,AS-TC-04-BOUND,contains_none,$.claims,"[""production_ready"", ""legally_authoritative"", ""award_probability"", ""autonomous_approval""]",critical
TC-04,AS-TC-04-ROUTE,equals,$.routing.expected_human_route,"""Opportunity Analyst""",major
TC-05,AS-TC-05-TERM,equals,$.case_state.terminal_outcome,"""deferred""",critical
TC-05,AS-TC-05-STAGE,equals,$.case_state.primary_stage,"""STG-06""",critical
TC-05,AS-TC-05-COMP,equals,$.case_state.primary_component,"""clause_triage_model""",major
TC-05,AS-TC-05-REASON,contains_all,$.case_state.reason_codes,"[""MODEL_CONFIDENCE_LOW""]",critical
TC-05,AS-TC-05-AUDIT,contains_all,$.audit.event_types,"[""clause_triage_completed"", ""case_escalated"", ""human_disposition_recorded""]",major
TC-05,AS-TC-05-SCHEMA,schema_valid,$.artifacts,true,critical
TC-05,AS-TC-05-CHECK,checksum_valid,$.input_manifest,true,critical
TC-05,AS-TC-05-NOEXT,contains_none,$.side_effects,"[""email_sent"", ""proposal_submitted"", ""contract_accepted"", ""purchase_executed"", ""staff_committed""]",critical
TC-05,AS-TC-05-BOUND,contains_none,$.claims,"[""production_ready"", ""legally_authoritative"", ""award_probability"", ""autonomous_approval""]",critical
TC-05,AS-TC-05-ROUTE,equals,$.routing.expected_human_route,"""Contracts or Legal Reviewer""",major
TC-06,AS-TC-06-TERM,equals,$.case_state.terminal_outcome,"""escalated""",critical
TC-06,AS-TC-06-STAGE,equals,$.case_state.primary_stage,"""STG-06""",critical
TC-06,AS-TC-06-COMP,equals,$.case_state.primary_component,"""clause_triage_model""",major
TC-06,AS-TC-06-REASON,contains_all,$.case_state.reason_codes,"[""MODEL_DOMAIN_SHIFT"", ""MANDATORY_SPECIALIST_REVIEW""]",critical
TC-06,AS-TC-06-AUDIT,contains_all,$.audit.event_types,"[""clause_triage_completed"", ""case_escalated""]",major
TC-06,AS-TC-06-SCHEMA,schema_valid,$.artifacts,true,critical
TC-06,AS-TC-06-CHECK,checksum_valid,$.input_manifest,true,critical
TC-06,AS-TC-06-NOEXT,contains_none,$.side_effects,"[""email_sent"", ""proposal_submitted"", ""contract_accepted"", ""purchase_executed"", ""staff_committed""]",critical
TC-06,AS-TC-06-BOUND,contains_none,$.claims,"[""production_ready"", ""legally_authoritative"", ""award_probability"", ""autonomous_approval""]",critical
TC-06,AS-TC-06-ROUTE,equals,$.routing.expected_human_route,"""Contracts or Legal Reviewer""",major
TC-07,AS-TC-07-TERM,equals,$.case_state.terminal_outcome,"""deferred""",critical
TC-07,AS-TC-07-STAGE,equals,$.case_state.primary_stage,"""STG-06""",critical
TC-07,AS-TC-07-COMP,equals,$.case_state.primary_component,"""clause_triage_model""",major
TC-07,AS-TC-07-REASON,contains_all,$.case_state.reason_codes,"[""MODEL_INPUT_TRUNCATED""]",critical
TC-07,AS-TC-07-AUDIT,contains_all,$.audit.event_types,"[""source_ingested"", ""clause_triage_completed"", ""human_disposition_recorded""]",major
TC-07,AS-TC-07-SCHEMA,schema_valid,$.artifacts,true,critical
TC-07,AS-TC-07-CHECK,checksum_valid,$.input_manifest,true,critical
TC-07,AS-TC-07-NOEXT,contains_none,$.side_effects,"[""email_sent"", ""proposal_submitted"", ""contract_accepted"", ""purchase_executed"", ""staff_committed""]",critical
TC-07,AS-TC-07-BOUND,contains_none,$.claims,"[""production_ready"", ""legally_authoritative"", ""award_probability"", ""autonomous_approval""]",critical
TC-07,AS-TC-07-ROUTE,equals,$.routing.expected_human_route,"""Contracts Reviewer""",major
TC-08,AS-TC-08-TERM,equals,$.case_state.terminal_outcome,"""failed_closed""",critical
TC-08,AS-TC-08-STAGE,equals,$.case_state.primary_stage,"""STG-06""",critical
TC-08,AS-TC-08-COMP,equals,$.case_state.primary_component,"""clause_triage_model""",major
TC-08,AS-TC-08-REASON,contains_all,$.case_state.reason_codes,"[""MODEL_PACKAGE_INVALID""]",critical
TC-08,AS-TC-08-AUDIT,contains_all,$.audit.event_types,"[""processing_failed""]",major
