case_id,case_name,category_ids,priority,reference_profile,input_shape,trigger_condition,expected_terminal_outcome,expected_primary_stage,expected_component,expected_reason_codes,expected_human_route,required_evidence_classes,expected_audit_events,must_occur,must_not_occur,acceptance_target_ids,safeguard_control_ids,p3_03_freeze_requirements
TC-01,Strong ICM alignment with sufficient evidence,CAT-01,high,icm,opportunity_data=complete; source_documents=approved_clean; project4_inference=high_confidence; official_evidence=sufficient_current; human_input=authorized_complete,Opportunity clearly matches configured ICM services and current evidence supports pursuit.,finalized_accept,STG-12,human_disposition_recorder,HUMAN_DECISION_REQUIRED,Business Development or Pursuit Lead,organization_configuration; opportunity_provenance; deterministic_alignment; historical_context; model_prediction; official_source; human_disposition; audit_chain,configuration_loaded; source_ingested; alignment_completed; historical_context_attached; clause_triage_completed; evidence_retrieved; evidence_validated; recommendation_created; human_disposition_recorded,Complete nonbinding recommendation is produced. | Authorized human disposition is recorded separately. | Every material claim links to recorded evidence.,No autonomous final decision occurs. | No unsupported production-readiness claim appears. | No external action is performed.,AT-01; AT-02; AT-03; AT-04; AT-09; AT-11; AT-14; AT-18,SG-021; SG-022; SG-023; SG-024; SG-027; SG-030,Frozen ICM profile and checksum | Frozen opportunity and checksum | Frozen approved passages | Frozen evidence items | Frozen human disposition
TC-02,Human accepts with modified conditions,CAT-01; CAT-09,high,icm,opportunity_data=complete; source_documents=approved_clean; project4_inference=high_confidence; official_evidence=sufficient_current; human_input=authorized_modified_conditions,System recommends pursuit with conditions and the authorized human adds stricter conditions.,finalized_accept_with_conditions,STG-12,human_disposition_recorder,HUMAN_DECISION_REQUIRED,Business Development or Pursuit Lead,deterministic_alignment; official_source; counterevidence; human_disposition; audit_chain,recommendation_created; human_disposition_recorded,Original recommendation remains preserved. | Human-added conditions are separately attributed. | Human rationale is mandatory.,System output is not rewritten as if it contained the human changes. | No finalization occurs without rationale.,AT-04; AT-05; AT-09; AT-11; AT-18,SG-020; SG-021; SG-024; SG-027,Frozen recommendation conditions | Frozen human-modified conditions | Expected audit references
TC-03,Ambiguous scope requires clarification,CAT-02,high,icm,opportunity_data=ambiguous; source_documents=none; project4_inference=not_applicable; official_evidence=not_required; human_input=authorized_defer,Opportunity uses broad consulting language without enough scope detail.,deferred,STG-03,service_alignment_engine,STRUCTURED_ANALYSIS_INSUFFICIENT,Opportunity Analyst,organization_configuration; opportunity_provenance; deterministic_alignment; human_disposition; audit_chain,alignment_completed; recommendation_abstained; human_disposition_recorded,Missing information is enumerated. | System produces No Recommendation or defer guidance.,No decisive unsupported match score is shown. | No historical count manufactures certainty.,AT-02; AT-04; AT-11; AT-18,SG-009; SG-018; SG-021; SG-024,Frozen ambiguous opportunity | Expected missing-field list | Expected clarification questions
TC-04,Sparse record produces explicit abstention,CAT-02,critical,icm,opportunity_data=sparse; source_documents=none; project4_inference=not_applicable; official_evidence=not_required; human_input=not_reached,Only title and agency are available with no usable scope details.,no_recommendation,STG-03,service_alignment_engine,STRUCTURED_ANALYSIS_INSUFFICIENT,Opportunity Analyst,opportunity_provenance; deterministic_alignment; audit_chain,source_ingested; alignment_completed; recommendation_abstained,Abstention is explicit and machine-readable. | Missing fields are preserved.,No directional recommendation is produced. | No fields are silently inferred. | No fabricated service match appears.,AT-02; AT-03; AT-04; AT-18,SG-009; SG-018; SG-021,Frozen sparse opportunity JSON | Expected missing-fields list | Expected No Recommendation record
TC-05,Low-confidence Project 4 prediction abstains,CAT-03,critical,icm,opportunity_data=complete; source_documents=approved_clean; project4_inference=low_confidence; official_evidence=not_required; human_input=authorized_defer,Maximum class probability is below the fixed threshold.,deferred,STG-06,clause_triage_model,MODEL_CONFIDENCE_LOW,Contracts or Legal Reviewer,model_prediction; human_disposition; audit_chain,clause_triage_completed; case_escalated; human_disposition_recorded,Full probability vector is retained. | Abstention and reviewer route are recorded.,Low-confidence label is not treated as reliable. | No legal conclusion is generated.,AT-02; AT-09; AT-11; AT-15,SG-011; SG-012; SG-024; SG-025,Frozen passage and probability band | Frozen model version | Expected abstention route
TC-06,Public-sector domain shift escalates,CAT-03; CAT-09,critical,icm,opportunity_data=complete; source_documents=approved_clean; project4_inference=domain_shift; official_evidence=not_required; human_input=authorized_defer,Passage differs materially from the CUAD commercial-contract training domain.,escalated,STG-06,clause_triage_model,MODEL_DOMAIN_SHIFT; MANDATORY_SPECIALIST_REVIEW,Contracts or Legal Reviewer,model_prediction; specialist_finding; audit_chain,clause_triage_completed; case_escalated,Domain warning appears in the packet. | Qualified specialist review is mandatory.,High confidence does not suppress the warning. | Prediction is not represented as legal authority.,AT-04; AT-09; AT-12; AT-15,SG-013; SG-023; SG-025,Frozen domain-shift passage | Expected warning text | Expected specialist route
TC-07,Long passage discloses truncation,CAT-03,high,icm,opportunity_data=complete; source_documents=approved_with_long_passage; project4_inference=truncated_input; official_evidence=not_required; human_input=authorized_defer,Selected passage exceeds the supported 256-token input length.,deferred,STG-06,clause_triage_model,MODEL_INPUT_TRUNCATED,Contracts Reviewer,model_prediction; opportunity_provenance; human_disposition; audit_chain,source_ingested; clause_triage_completed; human_disposition_recorded,Original and retained token counts are disclosed. | Passage locator is preserved.,Truncation is not hidden. | Prediction is not treated as complete-clause analysis.,AT-02; AT-09; AT-11; AT-15,SG-014; SG-024; SG-027,Frozen long passage | Expected retained-token count | Expected truncation disclosure
TC-08,Invalid model package fails closed,CAT-03; CAT-10,critical,icm,opportunity_data=complete; source_documents=approved_clean; project4_inference=invalid_package; official_evidence=not_required; human_input=not_reached,Checkpoint or vocabulary checksum differs from the approved manifest.,failed_closed,STG-06,clause_triage_model,MODEL_PACKAGE_INVALID,Technical Reviewer,model_prediction; policy_validation; audit_chain,processing_failed,Package validation error is explicit. | Case state records failed-closed status.,No inference result is fabricated. | No fallback model is silently substituted. | No downstream recommendation is produced.,AT-08; AT-09; AT-15; AT-17,SG-011; SG-027; SG-029,Frozen corrupted manifest | Expected checksum mismatch | Expected failed-closed audit event
TC-09,Missing exact citation abstains,CAT-04,critical,icm,opportunity_data=complete; source_documents=approved_clean; project4_inference=not_applicable; official_evidence=missing_exact_citation; human_input=authorized_defer,A requested citation does not exist in the approved corpus.,no_recommendation,STG-07,official_evidence_retriever,CITATION_NOT_FOUND,Contract Analyst,official_source; human_disposition; audit_chain,evidence_retrieved; recommendation_abstained; human_disposition_recorded,Requested citation is preserved in the outcome. | No Recommendation explains the missing authority.,No different clause is silently substituted. | No fabricated citation is produced.,AT-04; AT-06; AT-09; AT-11,SG-016; SG-021; SG-024,Frozen nonexistent citation | Expected exact-search miss | Expected abstention record
TC-10,Stale official evidence defers,CAT-04,high,icm,opportunity_data=complete; source_documents=approved_clean; project4_inference=not_applicable; official_evidence=stale; human_input=authorized_defer,Evidence version or effective date is older than the approved freshness rule.,deferred,STG-08,evidence_validator,SOURCE_STALE,Contract or Data Reviewer,official_source; human_disposition; audit_chain,evidence_validated; recommendation_abstained; human_disposition_recorded,Freshness status and source version are visible. | Reviewer is told what must be refreshed.,Stale evidence is not used as current authority. | No unsupported directional recommendation is produced.,AT-03; AT-04; AT-09; AT-11,SG-017; SG-018; SG-024,Frozen stale metadata | Expected freshness calculation | Expected defer reason
