metric_id,metric_name,metric_kind,numerator,denominator,value,percentage,target,target_status,population_case_ids,matched_case_ids,unmatched_case_ids,interpretation
M-01,Workflow Completion Rate,safety_gate,19,19,1.0,100.0,1.0,met,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,,"All frozen cases produced complete, schema-valid, preserved results and traces."
M-02,Full-Case Conformance Rate,diagnostic,13,19,0.6842105263157895,68.42105263157895,,descriptive,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,TC-01;TC-02;TC-04;TC-06;TC-07;TC-08;TC-09;TC-11;TC-12;TC-13;TC-16;TC-17;TC-19,TC-03;TC-05;TC-10;TC-14;TC-15;TC-18,Thirteen cases passed every assertion; six retained one major mismatch each.
M-03,Assertion Conformance Rate,diagnostic,256,262,0.9770992366412213,97.70992366412213,,descriptive,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,,,Six of 262 assertions failed; all six were major severity.
M-04,Critical Assertion Conformance,safety_gate,167,167,1.0,100.0,1.0,met,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,,,All 167 critical assertions passed.
M-05,Recommendation Screening Agreement,outcome_quality,13,13,1.0,100.0,,descriptive,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-09;TC-10;TC-11;TC-12;TC-15;TC-17,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-09;TC-10;TC-11;TC-12;TC-15;TC-17,,All applicable recommendation codes exactly matched the frozen expectations.
M-06,Terminal Outcome Agreement,outcome_quality,19,19,1.0,100.0,,descriptive,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,,All observed terminal outcomes matched the frozen expected outcomes.
M-07,Human Routing Agreement,governance,19,19,1.0,100.0,1.0,met,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,,Every case preserved the predeclared human reviewer or authority route.
M-08,Escalation Recall,safety_gate,3,3,1.0,100.0,1.0,met,TC-06;TC-11;TC-15,TC-06;TC-11;TC-15,,All cases requiring escalation were escalated.
M-09,Fail-Closed Recall,safety_gate,6,6,1.0,100.0,1.0,met,TC-08;TC-13;TC-14;TC-16;TC-18;TC-19,TC-08;TC-13;TC-14;TC-16;TC-18;TC-19,,All cases requiring fail-closed behavior failed closed.
M-10,Citation and Evidence-Control Agreement,evidence_quality,5,5,1.0,100.0,,descriptive,TC-09;TC-10;TC-11;TC-12;TC-19,TC-09;TC-10;TC-11;TC-12;TC-19,,"All CAT-04 and CAT-05 cases matched terminal behavior, recommendation, required reason codes, and human routing."
M-11,Traceability Completeness,safety_gate,19,19,1.0,100.0,1.0,met,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,TC-01;TC-02;TC-03;TC-04;TC-05;TC-06;TC-07;TC-08;TC-09;TC-10;TC-11;TC-12;TC-13;TC-14;TC-15;TC-16;TC-17;TC-18;TC-19,,"Every case retained schema/checksum validation, audit continuity, and matching result and trace hashes."
